"","ID","var001","var002","var003","var007","var008","var009","var010","var016","var021","var022","var023","Diet","L_Vis1","L_Vis2","L_Hid1","L_Hid2","L_Hid3","L_Hid4","L_Hid5","L_Hid6","L_Vis3","L_Vis4","P_Time","P_Cross","P_TargetQ","SS_Vis"
"23","s25",-1.100062286,-1.526779855,-1.25433112,-1.276538663,-1.05868804,-1.376443091,0.023146979,-0.561215721,-0.998641095,-0.465339256,-0.672014972,"DXN",31.6,24,60.3,12,29.2,34.8,12.2,23,41.641641,6.406406,6,3,0.303636967,17.28
"24","s26",-2.215159013,-2.921900204,-1.988726311,-1.54653596,-2.887225719,-1.763550013,-0.37399219,-0.422454976,0.527891363,-0.098992251,0.773957874,"DXN",40.1,8.3,60.3,60.3,60.3,60.3,9.2,47.4,9.609609,7.007006,6,3,0.306973633,16.97
"25","s27",-0.113363128,-0.163137329,0.243115878,0.941381464,0.056319278,-0.260223584,1.125219257,0.195797777,0.695055266,0.531889773,0.490547257,"DXN",60.3,7.8,60.3,60.3,26.2,8.2,54.9,27.6,8.2,7.4,13,1,0.2902903,18
"26","s28",0.65961807,0.822829397,1.290424598,-0.991805555,0.055533137,-0.483924989,-1.712181803,-0.062546551,-0.373101592,1.232418764,-0.268607064,"DXN",40.2,9.7,60.3,60.3,42,30,15.8,16.6,10.8,8.6,12,1,0.363697033,15.4
"27","s29",0.474635109,0.744565629,0.847900585,1.947625743,1.987066747,2.875788444,1.81123365,-0.557724399,2.440677899,2.276184342,2.418993895,"DXN",55.1,29.3,60.3,28,60.3,60.3,60.3,41,32.832832,25.825825,35,1,0.280280283,16.41
"28","s30",-3.592491182,-2.242311425,-3.360584567,0.240327579,-1.56888263,-0.875847281,-2.376360283,-1.928300868,-1.987964423,-4.162855938,-1.431114401,"DXN",17.5,19.9,60.3,34,28,56,29.6,13,26.426426,13.413413,11,3,0.390390383,20.24
"29","s31",-1.565305184,-1.752106933,-0.739004776,-0.169678555,-0.669538882,-1.564392289,-0.967282818,0.399662189,-0.546163268,-0.931503169,0.037010086,"DXN",60.3,37.8,60.3,60.3,60.3,60.3,60.3,48,60.26026,15.415415,15,2,0.350350367,14.42
"30","s32",-2.414916462,-2.217665464,-1.876231021,0.588156521,-0.81397644,-0.189529784,-0.673161433,0.654260888,0.271716767,-2.202794885,0.541334241,"DXN",60.3,9.3,60.3,60.3,36,24,15,35,11.411411,7.207207,39,1,0.550550533,18.67
"31","s33",-0.40330776,-0.542523864,-0.291940251,-2.222426289,-0.563099023,-0.874781379,-0.487846424,-1.038218195,-1.581191726,0.290628476,-1.637566382,"DXN",31,6.4,60.3,60.3,36,55.7,31.6,12.4,6.206206,6.606606,11,2,0.323657,19.15
"32","s34",-0.744659539,-0.399448901,0.015077641,1.512127492,1.116813564,1.272386899,1.204329144,-0.225971874,-0.649079613,-2.076043707,-0.754950653,"DXN",47,18.6,36.2,60.3,60.3,60.3,60.3,60.3,23.023022,14.214214,20,1,0.223556883,14.35
"33","s35",-1.537579486,-0.698025001,-1.08018693,0.935032995,-0.778291957,0.032446211,-0.264402084,1.11419026,0.740220333,0.159923896,1.11207736,"DXN",13.7,27.1,60.3,60.3,41,51.5,36,24,46.446446,7.807807,9,2,0.313646983,17
"34","s36",-0.598408307,-1.816380364,-0.146715815,-1.86346123,-0.269782977,-1.204609247,0.221841199,-0.134643256,0.197465979,0.224779501,0.429728066,"DXN",34.7,8,60.3,60.3,14,24.4,17.2,9.6,9.209209,6.806806,10,4,0.460460467,18.49
"35","s37",-0.87853322,-0.640218478,-0.478469059,-0.286042537,-0.866352049,-0.44405313,-0.141768832,0.616171742,-0.527799573,-3.100857938,-0.19454167,"TXN",14.1,12.9,18,10,48,24.6,8,19.6,15.015014,10.81081,12,5,0.397063717,17.43
"36","s38",-3.678138967,-2.000456817,-3.200773864,1.505370424,-1.219421137,0.248274386,-2.32308848,-0.487829085,-1.485137928,-4.152386219,-1.179390659,"TXN",44.3,10.9,33,60.3,60.3,25.8,26.4,8.8,12.212212,9.609609,14,1,0.413747083,15.11
"37","s39",-0.030402554,-1.432141432,0.115580034,-2.416201291,-1.493682116,-1.589451718,-0.03146471,0.597849084,1.462093391,-1.605842429,1.195020995,"TXN",37.5,17.6,60.3,33.4,45,49,47.8,27.2,14.414414,20.82082,32,1,0.253586933,14.04
"38","s40",-2.943318137,-1.355053149,-3.397340952,0.106402776,-1.712142793,-0.74029896,-2.4295634,0.649552756,1.881804784,-0.480929331,1.712290383,"TXN",42.6,31.4,60.3,23,30.4,15.4,60.3,41.2,34.434434,28.428428,8,3,0.490490467,16.9
"39","s43",-1.750491675,-0.640883443,-1.858429632,2.48939583,-0.072178835,1.322748578,0.226123555,0.03314877,0.132711804,-3.867066859,0.565576295,"TXN",50.6,19.5,49,45.2,60.3,36.4,60.3,32.8,20.62062,18.418418,10,1,0.311978525,17.99
"40","s44",-0.913194664,-0.753934,-0.449047498,-1.235814614,-0.817765181,-1.476209943,-2.129180644,1.539038204,1.24249419,0.97581299,1.111361806,"TXN",24.2,8.7,60.3,60.3,28,24.4,57,41.8,9.809809,7.607607,20,2,0.296963633,14.26
"41","s45",-2.168377824,-1.489930185,-2.633830376,0.004905172,-1.246853366,-0.66368326,-1.188409215,1.813945811,0.834022092,-2.41658209,1.042880845,"TXN",17.5,15.9,45.2,31.6,60.3,38.4,27,19,23.823823,8.008007,15,1,0.387053717,13.68
"42","s46",-0.850678836,-1.389441159,-0.356955342,0.570807646,0.700460964,0.521237418,0.428329711,-0.052109259,-0.008578618,-0.857534282,0.050514247,"TXN",25,16.2,32,44,26,16.4,6,10,10.8,5.6,60,1,0.325325333,5.26
